"Type";"PolicyName";"PolicyId";"PolicyVersion";"PolicyScope";"PolicyScopeId";"ALZPolicyName";"ALZVersion";"ALZState";"InTenant";"DetectedBy";"AzAdvertizerUrl"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Append-AppService-httpsonly";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Append-AppService-httpsonly.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Append-AppService-latestTLS";"1.1.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Append-AppService-latestTLS.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Append-KV-SoftDelete";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Append-KV-SoftDelete.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Append-Redis-disableNonSslPort";"1.0.1";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Append-Redis-disableNonSslPort.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Append-Redis-sslEnforcement";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Append-Redis-sslEnforcement.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Audit-Disks-UnusedResourcesCostOptimization";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Audit-Disks-UnusedResourcesCostOptimization.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Audit-PrivateLinkDnsZones";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Audit-PrivateLinkDnsZones.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Audit-PublicIpAddresses-UnusedResourcesCostOptimization";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Audit-PublicIpAddresses-UnusedResourcesCostOptimization.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Audit-ServerFarms-UnusedResourcesCostOptimization";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Audit-ServerFarms-UnusedResourcesCostOptimization.html"
"PolicySet";"n/a";"n/a";"n/a";"n/a";"n/a";"Audit-UnusedResourcesCostOptimization";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyinitiativesadvertizer/Audit-UnusedResourcesCostOptimization.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deny-AA-child-resources";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-AA-child-resources.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deny-AppGW-Without-WAF";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-AppGW-Without-WAF.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deny-AppServiceApiApp-http";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-AppServiceApiApp-http.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deny-AppServiceFunctionApp-http";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-AppServiceFunctionApp-http.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deny-AppServiceWebApp-http";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-AppServiceWebApp-http.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deny-FileServices-InsecureAuth";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-FileServices-InsecureAuth.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deny-FileServices-InsecureKerberos";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-FileServices-InsecureKerberos.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deny-FileServices-InsecureSmbChannel";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-FileServices-InsecureSmbChannel.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deny-FileServices-InsecureSmbVersions";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-FileServices-InsecureSmbVersions.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deny-MgmtPorts-From-Internet";"2.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-MgmtPorts-From-Internet.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deny-MySql-http";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-MySql-http.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deny-PostgreSql-http";"1.0.1";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-PostgreSql-http.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deny-Private-DNS-Zones";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-Private-DNS-Zones.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deny-PublicEndpoint-MariaDB";"1.0.0-deprecated";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-PublicEndpoint-MariaDB.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deny-PublicIP";"1.0.0-deprecated";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-PublicIP.html"
"PolicySet";"n/a";"n/a";"n/a";"n/a";"n/a";"Deny-PublicPaaSEndpoints";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyinitiativesadvertizer/Deny-PublicPaaSEndpoints.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deny-RDP-From-Internet";"1.0.1-deprecated";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-RDP-From-Internet.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deny-Redis-http";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-Redis-http.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deny-Sql-minTLS";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-Sql-minTLS.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deny-SqlMi-minTLS";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-SqlMi-minTLS.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deny-Storage-minTLS";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-Storage-minTLS.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deny-Storage-SFTP";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-Storage-SFTP.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deny-StorageAccount-CustomDomain";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-StorageAccount-CustomDomain.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deny-Subnet-Without-Nsg";"2.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-Subnet-Without-Nsg.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deny-Subnet-Without-Penp";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-Subnet-Without-Penp.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deny-Subnet-Without-UDR";"2.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-Subnet-Without-UDR.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deny-UDR-With-Specific-NextHop";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-UDR-With-Specific-NextHop.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deny-VNET-Peer-Cross-Sub";"1.0.1";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-VNET-Peer-Cross-Sub.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deny-VNet-Peering";"1.0.1";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-VNet-Peering.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deny-VNET-Peering-To-Non-Approved-VNETs";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-VNET-Peering-To-Non-Approved-VNETs.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-ASC-SecurityContacts";"1.1.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deploy-ASC-SecurityContacts.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-Budget";"1.1.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deploy-Budget.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-Custom-Route-Table";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deploy-Custom-Route-Table.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-DDoSProtection";"1.0.1";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deploy-DDoSProtection.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-Default-Udr";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deploy-Default-Udr.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-Diagnostics-AA";"1.1.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deploy-Diagnostics-AA.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-Diagnostics-ACI";"1.1.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deploy-Diagnostics-ACI.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-Diagnostics-ACR";"1.1.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deploy-Diagnostics-ACR.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-Diagnostics-AnalysisService";"1.1.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deploy-Diagnostics-AnalysisService.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-Diagnostics-ApiForFHIR";"1.1.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deploy-Diagnostics-ApiForFHIR.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-Diagnostics-APIMgmt";"1.2.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deploy-Diagnostics-APIMgmt.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-Diagnostics-ApplicationGateway";"1.1.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deploy-Diagnostics-ApplicationGateway.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-Diagnostics-Bastion";"1.1.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deploy-Diagnostics-Bastion.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-Diagnostics-CDNEndpoints";"1.1.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deploy-Diagnostics-CDNEndpoints.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-Diagnostics-CognitiveServices";"1.1.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deploy-Diagnostics-CognitiveServices.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-Diagnostics-CosmosDB";"1.1.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deploy-Diagnostics-CosmosDB.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-Diagnostics-Databricks";"1.3.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deploy-Diagnostics-Databricks.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-Diagnostics-DataExplorerCluster";"1.1.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deploy-Diagnostics-DataExplorerCluster.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-Diagnostics-DataFactory";"1.2.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deploy-Diagnostics-DataFactory.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-Diagnostics-DLAnalytics";"1.1.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deploy-Diagnostics-DLAnalytics.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-Diagnostics-EventGridSub";"1.1.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deploy-Diagnostics-EventGridSub.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-Diagnostics-EventGridSystemTopic";"1.1.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deploy-Diagnostics-EventGridSystemTopic.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-Diagnostics-EventGridTopic";"1.2.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deploy-Diagnostics-EventGridTopic.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-Diagnostics-ExpressRoute";"1.1.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deploy-Diagnostics-ExpressRoute.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-Diagnostics-Firewall";"1.2.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deploy-Diagnostics-Firewall.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-Diagnostics-FrontDoor";"1.1.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deploy-Diagnostics-FrontDoor.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-Diagnostics-Function";"1.1.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deploy-Diagnostics-Function.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-Diagnostics-HDInsight";"1.1.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deploy-Diagnostics-HDInsight.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-Diagnostics-iotHub";"1.1.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deploy-Diagnostics-iotHub.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-Diagnostics-LoadBalancer";"1.1.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deploy-Diagnostics-LoadBalancer.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-Diagnostics-LogAnalytics";"1.1.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deploy-Diagnostics-LogAnalytics.html"
"PolicySet";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-Diagnostics-LogAnalytics";"1.1.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyinitiativesadvertizer/Deploy-Diagnostics-LogAnalytics.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-Diagnostics-LogicAppsISE";"1.1.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deploy-Diagnostics-LogicAppsISE.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-Diagnostics-MariaDB";"1.1.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deploy-Diagnostics-MariaDB.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-Diagnostics-MediaService";"1.1.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deploy-Diagnostics-MediaService.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-Diagnostics-MlWorkspace";"1.2.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deploy-Diagnostics-MlWorkspace.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-Diagnostics-MySQL";"1.1.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deploy-Diagnostics-MySQL.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-Diagnostics-NetworkSecurityGroups";"1.1.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deploy-Diagnostics-NetworkSecurityGroups.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-Diagnostics-NIC";"1.1.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deploy-Diagnostics-NIC.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-Diagnostics-PostgreSQL";"2.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deploy-Diagnostics-PostgreSQL.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-Diagnostics-PowerBIEmbedded";"1.1.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deploy-Diagnostics-PowerBIEmbedded.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-Diagnostics-RedisCache";"1.1.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deploy-Diagnostics-RedisCache.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-Diagnostics-Relay";"1.1.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deploy-Diagnostics-Relay.html"
