"Level";"MgId";"MgName";"MgParentId";"MgParentName";"subscriptionId";"subscriptionName";"PolicyAssignmentId";"PolicyAssignmentScopeName";"PolicyAssignmentDisplayName";"PolicyAssignmentDescription";"PolicyAssignmentEnforcementMode";"PolicyAssignmentNonComplianceMessages";"PolicyAssignmentNotScopes";"PolicyAssignmentParameters";"PolicyAssignmentMI";"AssignedBy";"CreatedOn";"CreatedBy";"UpdatedOn";"UpdatedBy";"Effect";"PolicyNameClear";"PolicyAvailability";"PolicyDescription";"PolicyId";"PolicyVariant";"PolicyType";"PolicyIsALZ";"PolicyCategory";"Inheritance";"ExcludedScope";"RelatedRoleAssignmentsClear";"mgOrSubOrRG";"NonCompliantPolicies";"CompliantPolicies";"NonCompliantResources";"CompliantResources";"ConflictingResources";"ExemptionScope"
"0";"80c5c29b-f6c2-457b-af54-603a8d840878";"Tenant Root Group";"__TenantRoot__";"";"6d0357ab-dd3d-4ab9-ac82-c08def70e813";"SMX-SOUTHCOM-SRH-Sandbox";"/subscriptions/6d0357ab-dd3d-4ab9-ac82-c08def70e813/providers/microsoft.authorization/policyassignments/securitycenterbuiltin";"6d0357ab-dd3d-4ab9-ac82-c08def70e813";"ASC Default (subscription: 6d0357ab-dd3d-4ab9-ac82-c08def70e813)";"This is the default set of policies monitored by Azure Security Center. It was automatically assigned as part of onboarding to Security Center. The default assignment contains only audit policies. For more information please visit https://aka.ms/ascpolicies";"Default";"";"n/a";"";"";"Security Center";"01/14/2023 01:59:23";"ObjectType: SP App EXT, ObjectDisplayName: Windows Azure Security Resource Provider, ObjectSignInName: n/a, ObjectId: e36cdba1-8d32-40a3-85e9-b549ac682554 (rp)";"";"";"n/a";"Microsoft cloud security benchmark";"";"The Microsoft cloud security benchmark initiative represents the policies and controls implementing security recommendations defined in Microsoft cloud security benchmark, see https://aka.ms/azsecbm. This also serves as the Microsoft Defender for Cloud default policy initiative. You can directly assign this initiative, or manage its policies and compliance results within Microsoft Defender for Cloud.";"/providers/microsoft.authorization/policysetdefinitions/1f3afdf9-d0c9-4c3d-847f-89da613e70a8";"PolicySet";"BuiltIn";"False";"Security Center";"thisScope Sub";"false";"none";"Sub";"19";"1";"1";"0";"0";"false"
"0";"80c5c29b-f6c2-457b-af54-603a8d840878";"Tenant Root Group";"__TenantRoot__";"";"722b67c0-5e76-40fa-811c-791e385a08b8";"Pond Hop Demo";"/subscriptions/722b67c0-5e76-40fa-811c-791e385a08b8/providers/microsoft.authorization/policyassignments/securitycenterbuiltin";"722b67c0-5e76-40fa-811c-791e385a08b8";"ASC Default (subscription: 722b67c0-5e76-40fa-811c-791e385a08b8)";"This is the default set of policies monitored by Azure Security Center. It was automatically assigned as part of onboarding to Security Center. The default assignment contains only audit policies. For more information please visit https://aka.ms/ascpolicies";"Default";"";"n/a";"";"";"Security Center";"01/25/2023 19:51:23";"ObjectType: SP App EXT, ObjectDisplayName: Windows Azure Security Resource Provider, ObjectSignInName: n/a, ObjectId: e36cdba1-8d32-40a3-85e9-b549ac682554 (rp)";"";"";"n/a";"Microsoft cloud security benchmark";"";"The Microsoft cloud security benchmark initiative represents the policies and controls implementing security recommendations defined in Microsoft cloud security benchmark, see https://aka.ms/azsecbm. This also serves as the Microsoft Defender for Cloud default policy initiative. You can directly assign this initiative, or manage its policies and compliance results within Microsoft Defender for Cloud.";"/providers/microsoft.authorization/policysetdefinitions/1f3afdf9-d0c9-4c3d-847f-89da613e70a8";"PolicySet";"BuiltIn";"False";"Security Center";"thisScope Sub";"false";"none";"Sub";"19";"1";"1";"0";"0";"false"
"0";"80c5c29b-f6c2-457b-af54-603a8d840878";"Tenant Root Group";"__TenantRoot__";"";"964c406a-1019-48d1-a927-9461123de233";"MTN Demo";"/subscriptions/964c406a-1019-48d1-a927-9461123de233/providers/microsoft.authorization/policyassignments/1e7402a8b59149088bc9c638";"964c406a-1019-48d1-a927-9461123de233";"Inherit a tag from the resource group";"no description given";"Default";"";"/subscriptions/964c406a-1019-48d1-a927-9461123de233/resourceGroups/R-Default";"tagName=R-Role";"1e7402a8b59149088bc9c638 (SPObjId: 005c5844-d10f-492c-962e-150adde5674e)";"JSOC Student30";"10/03/2022 16:14:25";"ObjectType: User Member, ObjectDisplayName: JSOC Student 30, ObjectSignInName: jsoc.student30@mtnnet.us, ObjectId: b323babe-ae60-48a4-997e-2156446bc1b5";"";"";"modify";"Inherit a tag from the resource group";"";"Adds or replaces the specified tag and value from the parent resource group when any resource is created or updated. Existing resources can be remediated by triggering a remediation task.";"/providers/microsoft.authorization/policydefinitions/cd3aa116-8754-49c9-a813-ad46512ece54";"Policy";"BuiltIn";"False";"Tags";"thisScope Sub";"false";"Contributor (/subscriptions/964c406a-1019-48d1-a927-9461123de233/providers/microsoft.authorization/roleassignments/eace2d43-17c4-473d-bdcb-73f3d7bc600f)";"Sub";"0";"1";"0";"22";"0";"false"
"0";"80c5c29b-f6c2-457b-af54-603a8d840878";"Tenant Root Group";"__TenantRoot__";"";"964c406a-1019-48d1-a927-9461123de233";"MTN Demo";"/subscriptions/964c406a-1019-48d1-a927-9461123de233/providers/microsoft.authorization/policyassignments/dataprotectionsecuritycenter";"964c406a-1019-48d1-a927-9461123de233";"ASC DataProtection (subscription: 964c406a-1019-48d1-a927-9461123de233)";"This policy assignment was automatically created by Azure Security Center";"Default";"";"n/a";"";"";"Security Center";"01/03/2023 14:53:37";"ObjectType: SP App EXT, ObjectDisplayName: Windows Azure Security Resource Provider, ObjectSignInName: n/a, ObjectId: e36cdba1-8d32-40a3-85e9-b549ac682554 (rp)";"";"";"n/a";"Configure Azure Defender to be enabled on SQL Servers and SQL Managed Instances";"";"Enable Azure Defender on your SQL Servers and SQL Managed Instances to detect anomalous activities indicating unusual and potentially harmful attempts to access or exploit databases.";"/providers/microsoft.authorization/policysetdefinitions/9cb3cc7a-b39b-4b82-bc89-e5a5d9ff7b97";"PolicySet";"BuiltIn";"False";"Security Center";"thisScope Sub";"false";"none";"Sub";"0";"1";"0";"1";"0";"false"
"0";"80c5c29b-f6c2-457b-af54-603a8d840878";"Tenant Root Group";"__TenantRoot__";"";"964c406a-1019-48d1-a927-9461123de233";"MTN Demo";"/subscriptions/964c406a-1019-48d1-a927-9461123de233/providers/microsoft.authorization/policyassignments/opensourcerelationaldatabasesprotectionsecuritycenter";"964c406a-1019-48d1-a927-9461123de233";"ASC OpenSourceRelationalDatabasesProtection (subscription: 964c406a-1019-48d1-a927-9461123de233)";"This policy assignment was automatically created by Azure Security Center";"Default";"";"n/a";"";"";"Security Center";"01/03/2023 14:53:33";"ObjectType: SP App EXT, ObjectDisplayName: Windows Azure Security Resource Provider, ObjectSignInName: n/a, ObjectId: e36cdba1-8d32-40a3-85e9-b549ac682554 (rp)";"";"";"n/a";"Configure Advanced Threat Protection to be enabled on open-source relational databases";"";"Enable Advanced Threat Protection on your non-Basic tier open-source relational databases to detect anomalous activities indicating unusual and potentially harmful attempts to access or exploit databases. See https://aka.ms/AzDforOpenSourceDBsDocu.";"/providers/microsoft.authorization/policysetdefinitions/e77fc0b3-f7e9-4c58-bc13-cb753ed8e46e";"PolicySet";"BuiltIn";"False";"Security Center";"thisScope Sub";"false";"none";"Sub";"0";"0";"0";"0";"0";"false"
"0";"80c5c29b-f6c2-457b-af54-603a8d840878";"Tenant Root Group";"__TenantRoot__";"";"964c406a-1019-48d1-a927-9461123de233";"MTN Demo";"/subscriptions/964c406a-1019-48d1-a927-9461123de233/providers/microsoft.authorization/policyassignments/securitycenterbuiltin";"964c406a-1019-48d1-a927-9461123de233";"ASC Default (subscription: 964c406a-1019-48d1-a927-9461123de233)";"This is the default set of policies monitored by Azure Security Center. It was automatically assigned as part of onboarding to Security Center. The default assignment contains only audit policies. For more information please visit https://aka.ms/ascpolicies";"Default";"";"n/a";"";"";"Security Center";"09/16/2022 14:49:06";"ObjectType: SP App EXT, ObjectDisplayName: Windows Azure Security Resource Provider, ObjectSignInName: n/a, ObjectId: e36cdba1-8d32-40a3-85e9-b549ac682554 (rp)";"";"";"n/a";"Microsoft cloud security benchmark";"";"The Microsoft cloud security benchmark initiative represents the policies and controls implementing security recommendations defined in Microsoft cloud security benchmark, see https://aka.ms/azsecbm. This also serves as the Microsoft Defender for Cloud default policy initiative. You can directly assign this initiative, or manage its policies and compliance results within Microsoft Defender for Cloud.";"/providers/microsoft.authorization/policysetdefinitions/1f3afdf9-d0c9-4c3d-847f-89da613e70a8";"PolicySet";"BuiltIn";"False";"Security Center";"thisScope Sub";"false";"none";"Sub";"17";"19";"25";"1";"0";"false"
"0";"80c5c29b-f6c2-457b-af54-603a8d840878";"Tenant Root Group";"__TenantRoot__";"";"964c406a-1019-48d1-a927-9461123de233";"MTN Demo";"/subscriptions/964c406a-1019-48d1-a927-9461123de233/resourcegroups/defaultresourcegroup-usbn1/providers/microsoft.authorization/policyassignments/860145bf31eb4f54ad5a0a44";"DefaultResourceGroup-USBN1";"Inherit a tag from the resource group if missing";"no description given";"Default";"";"n/a";"tagName=role pmp";"860145bf31eb4f54ad5a0a44 (SPObjId: f1978edb-9dde-4348-9ff7-d9c5a249d229)";"JSOC Student16";"10/03/2022 16:20:03";"ObjectType: User Member, ObjectDisplayName: JSOC Student 16, ObjectSignInName: jsoc.student16@mtnnet.us, ObjectId: f7f17bc0-9cb6-4c91-9862-91d5644b3bb9";"";"";"modify";"Inherit a tag from the resource group if missing";"";"Adds the specified tag with its value from the parent resource group when any resource missing this tag is created or updated. Existing resources can be remediated by triggering a remediation task. If the tag exists with a different value it will not be changed.";"/providers/microsoft.authorization/policydefinitions/ea3f2387-9b95-492a-a190-fcdc54f7b070";"Policy";"BuiltIn";"False";"Tags";"thisScope Sub RG";"false";"Contributor (/subscriptions/964c406a-1019-48d1-a927-9461123de233/resourcegroups/defaultresourcegroup-usbn1/providers/microsoft.authorization/roleassignments/ef4e6439-4390-498e-b876-cded9b862047)";"RG";"0";"1";"0";"2";"0";"false"
"0";"80c5c29b-f6c2-457b-af54-603a8d840878";"Tenant Root Group";"__TenantRoot__";"";"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"MTNNet Main Subscription";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/providers/microsoft.authorization/policyassignments/5608b5fdc3414ef4ac951c98";"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"CIS Microsoft Azure Foundations Benchmark v1.3.0";"no description given";"Default";"";"n/a";"";"";"Joe Scanlan";"12/08/2022 16:47:19";"ObjectType: User Member, ObjectDisplayName: Joe Scanlan (CSA), ObjectSignInName: joe@mtnnet.us, ObjectId: b38f032b-acba-4d66-be8d-17e83ddf8ab7";"";"";"n/a";"CIS Microsoft Azure Foundations Benchmark v1.3.0";"";"The Center for Internet Security (CIS) is a nonprofit entity whose mission is to 'identify, develop, validate, promote, and sustain best practice solutions for cyberdefense.' CIS benchmarks are configuration baselines and best practices for securely configuring a system. These policies address a subset of CIS Microsoft Azure Foundations Benchmark v1.3.0 controls. For more information, visit https://aka.ms/cisazure130-initiative";"/providers/microsoft.authorization/policysetdefinitions/612b5213-9160-4969-8578-1518bd2a000c";"PolicySet";"BuiltIn";"False";"Regulatory Compliance";"thisScope Sub";"false";"none";"Sub";"21";"18";"64";"58";"0";"false"
"0";"80c5c29b-f6c2-457b-af54-603a8d840878";"Tenant Root Group";"__TenantRoot__";"";"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"MTNNet Main Subscription";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/providers/microsoft.authorization/policyassignments/789525e1b0044f41a501aadc";"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"Azure Security Benchmark";"no description given";"Default";"";"n/a";"";"";"Joe Scanlan";"12/08/2022 16:46:09";"ObjectType: User Member, ObjectDisplayName: Joe Scanlan (CSA), ObjectSignInName: joe@mtnnet.us, ObjectId: b38f032b-acba-4d66-be8d-17e83ddf8ab7";"";"";"n/a";"Microsoft cloud security benchmark";"";"The Microsoft cloud security benchmark initiative represents the policies and controls implementing security recommendations defined in Microsoft cloud security benchmark, see https://aka.ms/azsecbm. This also serves as the Microsoft Defender for Cloud default policy initiative. You can directly assign this initiative, or manage its policies and compliance results within Microsoft Defender for Cloud.";"/providers/microsoft.authorization/policysetdefinitions/1f3afdf9-d0c9-4c3d-847f-89da613e70a8";"PolicySet";"BuiltIn";"False";"Security Center";"thisScope Sub";"false";"none";"Sub";"34";"34";"63";"2";"0";"false"
"0";"80c5c29b-f6c2-457b-af54-603a8d840878";"Tenant Root Group";"__TenantRoot__";"";"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"MTNNet Main Subscription";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/providers/microsoft.authorization/policyassignments/af372183af304bde938fd59f";"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"Flow logs should be configured and enabled for every network security group";"no description given";"Default";"";"n/a";"";"";"Joe Scanlan";"12/08/2022 16:48:39";"ObjectType: User Member, ObjectDisplayName: Joe Scanlan (CSA), ObjectSignInName: joe@mtnnet.us, ObjectId: b38f032b-acba-4d66-be8d-17e83ddf8ab7";"";"";"n/a";"Flow logs should be configured and enabled for every network security group";"";"Audit for network security groups to verify if flow logs are configured and if flow log status is enabled. Enabling flow logs allows to log information about IP traffic flowing through network security group. It can be used for optimizing network flows, monitoring throughput, verifying compliance, detecting intrusions and more.";"/providers/microsoft.authorization/policysetdefinitions/62329546-775b-4a3d-a4cb-eb4bb990d2c0";"PolicySet";"BuiltIn";"False";"Network";"thisScope Sub";"false";"none";"Sub";"1";"0";"17";"0";"0";"false"
