"Type";"ScopeMGLevel";"Scope";"ScopeId";"PolicyDisplayName";"PolicyDefinitionName";"PolicyDefinitionId";"PolicyVersion";"PolicyEffect";"PolicyCategory";"UniqueAssignmentsCount";"UsedInPolicySetsCount";"UsedInPolicySet4CSV";"CreatedOn";"CreatedBy";"UpdatedOn";"UpdatedBy";"ALZ";"ALZState";"ALZLatestVer";"ALZIdentificationLevel";"ALZPolicyName"
"BuiltIn";;;;"Audit virtual machines without disaster recovery configured";"0015ea4d-51ff-4ce3-8d8c-f3f8f0179a56";"/providers/microsoft.authorization/policydefinitions/0015ea4d-51ff-4ce3-8d8c-f3f8f0179a56";"1.0.0";"Fixed: auditIfNotExists";"Compute";"0";"8";"CMMC Level 3 (/providers/microsoft.authorization/policysetdefinitions/b5629c75-5c77-4422-87b9-2509e680f8de), DoD Impact Level 4 (/providers/microsoft.authorization/policysetdefinitions/8d792a84-723c-4d92-a3c3-e4ed16a2d133), DoD Impact Level 5 (/providers/microsoft.authorization/policysetdefinitions/f9a961fa-3241-4b20-adc4-bbf8ad9d7197), FedRAMP High (/providers/microsoft.authorization/policysetdefinitions/d5264498-16f4-418a-b659-fa7ef418175f), FedRAMP Moderate (/providers/microsoft.authorization/policysetdefinitions/e95f5a9f-57ad-4d03-bb0b-b1d16db93693), IRS1075 September 2016 (/providers/microsoft.authorization/policysetdefinitions/105e0327-6175-4eb2-9af4-1fba43bdb39d), NIST SP 800-53 Rev. 4 (/providers/microsoft.authorization/policysetdefinitions/cf25b9c1-bd23-4eb6-bd2c-f4f3ac644a5f), NIST SP 800-53 Rev. 5 (/providers/microsoft.authorization/policysetdefinitions/179d1daa-458f-4e47-8086-2a68d0d6c38f)";;;;;"False";"";"";"";""
"BuiltIn";;;;"[Deprecated]: Audit Web Sockets state for a Function App";"001802d1-4969-4c82-a700-c29c6c6f9bbd";"/providers/microsoft.authorization/policydefinitions/001802d1-4969-4c82-a700-c29c6c6f9bbd";"1.0.0-deprecated";"Default: AuditIfNotExists; Allowed: AuditIfNotExists,Disabled";"Security Center";"0";"0";"";;;;;"False";"";"";"";""
"BuiltIn";;;;"Restrict location of information processing, storage and services";"0040d2e5-2779-170d-6a2c-1f5fca353335";"/providers/microsoft.authorization/policydefinitions/0040d2e5-2779-170d-6a2c-1f5fca353335";"1.1.0";"Default: Manual; Allowed: Disabled,Manual";"Regulatory Compliance";"0";"0";"";;;;;"False";"";"";"";""
"BuiltIn";;;;"Vulnerability assessment should be enabled on your Synapse workspaces";"0049a6b3-a662-4f3e-8635-39cf44ace45a";"/providers/microsoft.authorization/policydefinitions/0049a6b3-a662-4f3e-8635-39cf44ace45a";"1.0.0";"Default: AuditIfNotExists; Allowed: AuditIfNotExists,Disabled";"Synapse";"0";"8";"[Preview]: CMMC 2.0 Level 2 (/providers/microsoft.authorization/policysetdefinitions/4e50fd13-098b-3206-61d6-d1d78205cb45), DoD Impact Level 4 (/providers/microsoft.authorization/policysetdefinitions/8d792a84-723c-4d92-a3c3-e4ed16a2d133), DoD Impact Level 5 (/providers/microsoft.authorization/policysetdefinitions/f9a961fa-3241-4b20-adc4-bbf8ad9d7197), FedRAMP High (/providers/microsoft.authorization/policysetdefinitions/d5264498-16f4-418a-b659-fa7ef418175f), FedRAMP Moderate (/providers/microsoft.authorization/policysetdefinitions/e95f5a9f-57ad-4d03-bb0b-b1d16db93693), NIST SP 800-171 Rev. 2 (/providers/microsoft.authorization/policysetdefinitions/03055927-78bd-4236-86c0-f36125a10dc9), NIST SP 800-53 Rev. 4 (/providers/microsoft.authorization/policysetdefinitions/cf25b9c1-bd23-4eb6-bd2c-f4f3ac644a5f), NIST SP 800-53 Rev. 5 (/providers/microsoft.authorization/policysetdefinitions/179d1daa-458f-4e47-8086-2a68d0d6c38f)";;;;;"False";"";"";"";""
"BuiltIn";;;;"Establish parameters for searching secret authenticators and verifiers";"0065241c-72e9-3b2c-556f-75de66332a94";"/providers/microsoft.authorization/policydefinitions/0065241c-72e9-3b2c-556f-75de66332a94";"1.1.0";"Default: Manual; Allowed: Disabled,Manual";"Regulatory Compliance";"0";"0";"";;;;;"False";"";"";"";""
"BuiltIn";;;;"SQL Server Integration Services integration runtimes on Azure Data Factory should be joined to a virtual network";"0088bc63-6dee-4a9c-9d29-91cfdc848952";"/providers/microsoft.authorization/policydefinitions/0088bc63-6dee-4a9c-9d29-91cfdc848952";"2.1.0";"Default: Audit; Allowed: Audit,Deny,Disabled";"Data Factory";"0";"0";"";;;;;"False";"";"";"";""
"BuiltIn";;;;"[Preview]: Configure VMSS created with Shared Image Gallery images to install the Guest Attestation extension";"009259b0-12e8-42c9-94e7-7af86aa58d13";"/providers/microsoft.authorization/policydefinitions/009259b0-12e8-42c9-94e7-7af86aa58d13";"2.1.0-preview";"Default: DeployIfNotExists; Allowed: DeployIfNotExists,Disabled";"Security Center";"0";"0";"";;;;;"False";"";"";"";""
"BuiltIn";;;;"Private endpoint connections on Batch accounts should be enabled";"009a0c92-f5b4-4776-9b66-4ed2b4775563";"/providers/microsoft.authorization/policydefinitions/009a0c92-f5b4-4776-9b66-4ed2b4775563";"1.0.0";"Default: AuditIfNotExists; Allowed: AuditIfNotExists,Disabled";"Batch";"0";"0";"";;;;;"False";"";"";"";""
"BuiltIn";;;;"Integrate risk management process into SDLC";"00f12b6f-10d7-8117-9577-0f2b76488385";"/providers/microsoft.authorization/policydefinitions/00f12b6f-10d7-8117-9577-0f2b76488385";"1.1.0";"Default: Manual; Allowed: Disabled,Manual";"Regulatory Compliance";"0";"1";"ISO 27001:2013 (/providers/microsoft.authorization/policysetdefinitions/89c6cddc-1c73-4ac1-b19c-54d1a15a42f2)";;;;;"False";"";"";"";""
"BuiltIn";;;;"View and configure system diagnostic data";"0123edae-3567-a05a-9b05-b53ebe9d3e7e";"/providers/microsoft.authorization/policydefinitions/0123edae-3567-a05a-9b05-b53ebe9d3e7e";"1.1.0";"Default: Manual; Allowed: Disabled,Manual";"Regulatory Compliance";"0";"3";"ISO 27001:2013 (/providers/microsoft.authorization/policysetdefinitions/89c6cddc-1c73-4ac1-b19c-54d1a15a42f2), PCI DSS v4 (/providers/microsoft.authorization/policysetdefinitions/c676748e-3af9-4e22-bc28-50feed564afb), SOC 2 Type 2 (/providers/microsoft.authorization/policysetdefinitions/4054785f-702b-4a98-9215-009cbd58b141)";;;;;"False";"";"";"";""
