"type";"subscriptionId";"Resource";"Intent"
"microsoft.resources/subscriptions/resourcegroups";"964c406a-1019-48d1-a927-9461123de233";"/subscriptions/964c406a-1019-48d1-a927-9461123de233/resourceGroups/gh_group";"clean up"
"microsoft.resources/subscriptions/resourcegroups";"964c406a-1019-48d1-a927-9461123de233";"/subscriptions/964c406a-1019-48d1-a927-9461123de233/resourceGroups/jas-rg-cloudshell";"clean up"
"microsoft.network/networksecuritygroups";"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourceGroups/Arie_AVD/providers/Microsoft.Network/networkSecurityGroups/nsg-avd-Arieavd";"misconfiguration"
"microsoft.resources/subscriptions/resourcegroups";"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourceGroups/jdsaz104-03a-rg1";"clean up"
"microsoft.network/networksecuritygroups";"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourceGroups/mlz-rg-AVD-test/providers/Microsoft.Network/networkSecurityGroups/mlz-nsg-avd";"misconfiguration"
"microsoft.compute/disks";"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourceGroups/MLZ-RG-IDENTITY-TEST/providers/Microsoft.Compute/disks/DC1-mlz_OsDisk_1_1b36e48c4a6a4eadbe9813225f56d45e";"cost savings"
"microsoft.compute/disks";"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourceGroups/MLZ-RG-SANDBOX/providers/Microsoft.Compute/disks/vm0-sandbox_OsDisk_1_396f306cb4ff48f0ac3fc23f4e28f4ec";"cost savings"
"microsoft.resources/subscriptions/resourcegroups";"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourceGroups/RG-Scanlan-testing";"clean up"
"microsoft.network/publicipaddresses";"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourceGroups/serg-obfuscation-lz-spoke-va01-tier3-rg/providers/Microsoft.Network/publicIPAddresses/serg-MINTED-PIP";"cost savings"
"microsoft.resources/subscriptions/resourcegroups";"c7c39807-92fa-4bcb-8d7f-a604845698d0";"/subscriptions/c7c39807-92fa-4bcb-8d7f-a604845698d0/resourceGroups/cloudshell1";"clean up"
