"storageAccount";"kind";"skuName";"skuTier";"location";"creationTime";"allowBlobPublicAccess";"publicNetworkAccess";"SubscriptionId";"SubscriptionName";"subscriptionQuotaId";"subscriptionMGPath";"resourceGroup";"networkAclsdefaultAction";"staticWebsitesState";"staticWebsitesResponse";"containersCanBeListed";"containersCount";"containers";"containersAnonymousContainerCount";"containersAnonymousContainer";"containersAnonymousBlobCount";"containersAnonymousBlob";"ipRulesCount";"ipRulesIPAddressList";"virtualNetworkRulesCount";"virtualNetworkRulesList";"resourceAccessRulesCount";"resourceAccessRules";"bypass";"supportsHttpsTrafficOnly";"minimumTlsVersion";"allowSharedKeyAccess";"requireInfrastructureEncryption";"allowedCopyScope";"allowCrossTenantReplication";"dnsEndpointType";"usedCapacity";"cost";"metercategory";"curreny"
"adls2sharepoint";"StorageV2";"Standard_RAGRS";"Standard";"usgovvirginia";"8/31/2022 11:25:49 AM";"True";"likely Enabled";"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"MTNNet Main Subscription";"Internal_2014-09-01";"80c5c29b-f6c2-457b-af54-603a8d840878/a3ad3fff-f3c5-46cf-ac18-d384307648f8";"rg-bkasrai";"Allow";"False";"n/a";"True";"1";"sharepointfilesystem";"0";"";"0";"";"0";"";"0";"";"0";"";"AzureServices";"True";"TLS1_2";"likely True";"likely False";"From any Storage Account";"likely True";"standard";"0.0072990097105503082275390625";"";"";""
"ameblobstore";"StorageV2";"Standard_LRS";"Standard";"usgovvirginia";"8/11/2022 6:38:50 PM";"False";"likely Enabled";"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"MTNNet Main Subscription";"Internal_2014-09-01";"80c5c29b-f6c2-457b-af54-603a8d840878/a3ad3fff-f3c5-46cf-ac18-d384307648f8";"andy-mag-experiments";"Allow";"False";"n/a";"True";"1";"images";"0";"";"0";"";"0";"";"0";"";"0";"";"AzureServices";"True";"TLS1_2";"likely True";"likely False";"From any Storage Account";"likely True";"standard";"5.0040719099342823028564453125";"";"";""
"asekvlogsase769f5905dbc2";"StorageV2";"Standard_ZRS";"Standard";"usgovvirginia";"5/3/2023 12:57:49 PM";"True";"likely Enabled";"964c406a-1019-48d1-a927-9461123de233";"MTN Demo";"Internal_2014-09-01";"80c5c29b-f6c2-457b-af54-603a8d840878/964c406a-1019-48d1-a927-9461123de233";"Edge_test";"Allow";"False";"n/a";"True";"1";"insights-logs-auditevent";"0";"";"0";"";"0";"";"0";"";"0";"";"AzureServices";"True";"TLS1_0";"likely True";"likely False";"From any Storage Account";"likely True";"standard";"0.0037826634943485260009765625";"";"";""
"cloudshell2222";"StorageV2";"Standard_LRS";"Standard";"usgovvirginia";"5/3/2023 2:17:46 PM";"False";"likely Enabled";"c7c39807-92fa-4bcb-8d7f-a604845698d0";"MTN Training";"Internal_2014-09-01";"80c5c29b-f6c2-457b-af54-603a8d840878/c7c39807-92fa-4bcb-8d7f-a604845698d0";"cloudshell2222";"Allow";"False";"n/a";"True";"0";"";"0";"";"0";"";"0";"";"0";"";"0";"";"AzureServices";"True";"TLS1_2";"likely True";"likely False";"From any Storage Account";"likely True";"standard";"5.0040364125743508338928222656";"";"";""
"cloudshell681358";"StorageV2";"Standard_LRS";"Standard";"usgovvirginia";"10/3/2022 3:32:27 PM";"False";"likely Enabled";"964c406a-1019-48d1-a927-9461123de233";"MTN Demo";"Internal_2014-09-01";"80c5c29b-f6c2-457b-af54-603a8d840878/964c406a-1019-48d1-a927-9461123de233";"DefaultResourceGroup-USBN1";"Allow";"False";"n/a";"True";"0";"";"0";"";"0";"";"0";"";"0";"";"0";"";"AzureServices";"True";"TLS1_2";"likely True";"likely False";"From any Storage Account";"likely True";"standard";"5.0030830837786197662353515625";"";"";""
"csu10032918be52e6de";"StorageV2";"Standard_LRS";"Standard";"usgovvirginia";"1/11/2023 8:10:23 PM";"False";"likely Enabled";"964c406a-1019-48d1-a927-9461123de233";"MTN Demo";"Internal_2014-09-01";"80c5c29b-f6c2-457b-af54-603a8d840878/964c406a-1019-48d1-a927-9461123de233";"cloud-shell-storage-usgovvirginia";"Allow";"False";"n/a";"True";"0";"";"0";"";"0";"";"0";"";"0";"";"0";"";"AzureServices";"True";"TLS1_2";"likely True";"likely False";"From any Storage Account";"likely True";"standard";"5.0036083618178963661193847656";"";"";""
"csu10032918be5a14db";"StorageV2";"Standard_LRS";"Standard";"usgovvirginia";"11/28/2022 5:06:43 PM";"False";"likely Enabled";"964c406a-1019-48d1-a927-9461123de233";"MTN Demo";"Internal_2014-09-01";"80c5c29b-f6c2-457b-af54-603a8d840878/964c406a-1019-48d1-a927-9461123de233";"cloud-shell-storage-usgovvirginia";"Allow";"False";"n/a";"True";"0";"";"0";"";"0";"";"0";"";"0";"";"0";"";"AzureServices";"True";"TLS1_2";"likely True";"likely False";"From any Storage Account";"likely True";"standard";"5.0609241612255573272705078125";"";"";""
"csu10032918be5a1517";"StorageV2";"Standard_LRS";"Standard";"usgovvirginia";"9/22/2022 7:15:29 PM";"False";"likely Enabled";"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"MTNNet Main Subscription";"Internal_2014-09-01";"80c5c29b-f6c2-457b-af54-603a8d840878/a3ad3fff-f3c5-46cf-ac18-d384307648f8";"cloud-shell-storage-usgovvirginia";"Allow";"False";"n/a";"True";"0";"";"0";"";"0";"";"0";"";"0";"";"0";"";"AzureServices";"True";"TLS1_2";"likely True";"likely False";"From any Storage Account";"likely True";"standard";"5.0034393109381198883056640625";"";"";""
"csu10032918bea14ea6";"StorageV2";"Standard_LRS";"Standard";"usgovvirginia";"10/4/2022 1:02:26 PM";"False";"likely Enabled";"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"MTNNet Main Subscription";"Internal_2014-09-01";"80c5c29b-f6c2-457b-af54-603a8d840878/a3ad3fff-f3c5-46cf-ac18-d384307648f8";"cloud-shell-storage-usgovvirginia";"Allow";"False";"n/a";"True";"0";"";"0";"";"0";"";"0";"";"0";"";"0";"";"AzureServices";"True";"TLS1_2";"likely True";"likely False";"From any Storage Account";"likely True";"standard";"5.0039528226479887962341308594";"";"";""
"csu10032918bf029962";"StorageV2";"Standard_LRS";"Standard";"usgovvirginia";"6/6/2023 3:56:32 PM";"False";"likely Enabled";"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"MTNNet Main Subscription";"Internal_2014-09-01";"80c5c29b-f6c2-457b-af54-603a8d840878/a3ad3fff-f3c5-46cf-ac18-d384307648f8";"cloud-shell-storage-usgovvirginia";"Allow";"False";"n/a";"True";"0";"";"0";"";"0";"";"0";"";"0";"";"0";"";"AzureServices";"True";"TLS1_2";"likely True";"likely False";"From any Storage Account";"likely True";"standard";"5.0034585632383823394775390625";"";"";""
