"SubscriptionName";"Subscription";"MGPath";"VNet";"VNetId";"VNetResourceGroup";"Location";"AddressSpaceAddressPrefixes";"DhcpoptionsDnsservers";"SubnetsCount";"SubnetsWithNSGCount";"SubnetsWithRouteTableCount";"SubnetsWithDelegationsCount";"PrivateEndpointsCount";"SubnetsWithPrivateEndPointsCount";"ConnectedDevices";"SubnetsWithConnectedDevicesCount";"DdosProtection";"PeeringsCount";"PeeringXTenant";"PeeringName";"PeeringState";"PeeringSyncLevel";"AllowVirtualNetworkAccess";"AllowForwardedTraffic";"AllowGatewayTransit";"UseRemoteGateways";"DoNotVerifyRemoteGateways";"PeerCompleteVnets";"RouteServiceVips";"RemotePeeringsCount";"RemotePeeringName";"RemotePeeringState";"RemotePeeringSyncLevel";"RemoteAllowVirtualNetworkAccess";"RemoteAllowForwardedTraffic";"RemoteAllowGatewayTransit";"RemoteUseRemoteGateways";"RemoteDoNotVerifyRemoteGateways";"RemotePeerCompleteVnets";"RemoteRouteServiceVips";"RemoteSubscriptionName";"RemoteSubscription";"RemoteMGPath";"RemoteVNet";"RemoteVNetId";"RemoteVNetState";"RemoteVNetResourceGroup";"RemoteVNetLocation";"RemoteAddressSpaceAddressPrefixes";"RemoteVirtualNetworkAddressSpaceAddressPrefixes";"RemoteDhcpoptionsDnsservers";"RemoteSubnetsCount";"RemoteSubnetsWithNSGCount";"RemoteSubnetsWithRouteTable";"RemoteSubnetsWithDelegations";"RemotePrivateEndPoints";"RemoteSubnetsWithPrivateEndPoints";"RemoteConnectedDevices";"RemoteSubnetsWithConnectedDevices";"RemoteDdosProtection"
"MTN Training";"c7c39807-92fa-4bcb-8d7f-a604845698d0";"80c5c29b-f6c2-457b-af54-603a8d840878";"az104-05-vnet0";"/subscriptions/c7c39807-92fa-4bcb-8d7f-a604845698d0/resourceGroups/rg1-az104-jsocstudent04/providers/Microsoft.Network/virtualNetworks/az104-05-vnet0";"rg1-az104-jsocstudent04";"usgovvirginia";"10.50.0.0/22";"";"1";"0";"0";"0";"0";"0";"0";"0";"False";"2";"false";"az104-05-vnet0_to_az104-05-vnet2";"Disconnected";"FullyInSync";"True";"False";"False";"False";"False";"True";"";"n/a";"n/a";"n/a";"n/a";"n/a";"n/a";"n/a";"n/a";"n/a";"n/a";"n/a";"MTN Training";"c7c39807-92fa-4bcb-8d7f-a604845698d0";"80c5c29b-f6c2-457b-af54-603a8d840878";"az104-05-vnet2";"/subscriptions/c7c39807-92fa-4bcb-8d7f-a604845698d0/resourceGroups/rg1-az104-jsocstudent04/providers/Microsoft.Network/virtualNetworks/az104-05-vnet2";"non-existent";"rg1-az104-jsocstudent04";"n/a";"10.52.0.0/22";"10.52.0.0/22";"n/a";"n/a";"n/a";"n/a";"n/a";"n/a";"n/a";"n/a";"n/a";"n/a"
"MTN Training";"c7c39807-92fa-4bcb-8d7f-a604845698d0";"80c5c29b-f6c2-457b-af54-603a8d840878";"az104-05-vnet0";"/subscriptions/c7c39807-92fa-4bcb-8d7f-a604845698d0/resourceGroups/rg1-az104-jsocstudent04/providers/Microsoft.Network/virtualNetworks/az104-05-vnet0";"rg1-az104-jsocstudent04";"usgovvirginia";"10.50.0.0/22";"";"1";"0";"0";"0";"0";"0";"0";"0";"False";"2";"false";"az104-05-vnet0_to_az104-05-vnet1";"Disconnected";"FullyInSync";"True";"False";"False";"False";"False";"True";"";"n/a";"n/a";"n/a";"n/a";"n/a";"n/a";"n/a";"n/a";"n/a";"n/a";"n/a";"MTN Training";"c7c39807-92fa-4bcb-8d7f-a604845698d0";"80c5c29b-f6c2-457b-af54-603a8d840878";"az104-05-vnet1";"/subscriptions/c7c39807-92fa-4bcb-8d7f-a604845698d0/resourceGroups/rg1-az104-jsocstudent04/providers/Microsoft.Network/virtualNetworks/az104-05-vnet1";"non-existent";"rg1-az104-jsocstudent04";"n/a";"10.51.0.0/22";"10.51.0.0/22";"n/a";"n/a";"n/a";"n/a";"n/a";"n/a";"n/a";"n/a";"n/a";"n/a"
"MTNNet Main Subscription";"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878";"mlz-vnet-AVD";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourceGroups/mlz-rg-AVD-test/providers/Microsoft.Network/virtualNetworks/mlz-vnet-AVD";"mlz-rg-AVD-test";"usgovvirginia";"10.0.125.0/24";"";"1";"0";"1";"0";"0";"0";"3";"1";"False";"1";"false";"AVDtohubMLZ";"Connected";"FullyInSync";"True";"True";"False";"False";"False";"True";"";"5";"hubtoAVDmlz";"Connected";"FullyInSync";"True";"True";"False";"False";"False";"True";"";"MTNNet Main Subscription";"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878";"mlz-vnet-hub-test";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourceGroups/mlz-rg-hub-test/providers/Microsoft.Network/virtualNetworks/mlz-vnet-hub-test";"existent";"mlz-rg-hub-test";"usgovvirginia";"10.0.100.0/24";"10.0.100.0/24";"";"4";"1";"2";"0";"1";"1";"17";"4";"False"
"MTNNet Main Subscription";"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878";"mlz-vnet-hub-test";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourceGroups/mlz-rg-hub-test/providers/Microsoft.Network/virtualNetworks/mlz-vnet-hub-test";"mlz-rg-hub-test";"usgovvirginia";"10.0.100.0/24";"";"4";"1";"2";"0";"1";"1";"17";"4";"False";"5";"false";"to-mlz-vnet-operations-test";"Connected";"FullyInSync";"True";"True";"False";"False";"False";"True";"";"1";"to-mlz-vnet-hub-test";"Connected";"FullyInSync";"True";"True";"False";"False";"False";"True";"";"MTNNet Main Subscription";"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878";"mlz-vnet-operations-test";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourceGroups/mlz-rg-operations-test/providers/Microsoft.Network/virtualNetworks/mlz-vnet-operations-test";"existent";"mlz-rg-operations-test";"usgovvirginia";"10.0.115.0/26";"10.0.115.0/26";"";"1";"1";"1";"0";"0";"0";"0";"0";"False"
"MTNNet Main Subscription";"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878";"mlz-vnet-hub-test";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourceGroups/mlz-rg-hub-test/providers/Microsoft.Network/virtualNetworks/mlz-vnet-hub-test";"mlz-rg-hub-test";"usgovvirginia";"10.0.100.0/24";"";"4";"1";"2";"0";"1";"1";"17";"4";"False";"5";"false";"hubtoAVDmlz";"Connected";"FullyInSync";"True";"True";"False";"False";"False";"True";"";"1";"AVDtohubMLZ";"Connected";"FullyInSync";"True";"True";"False";"False";"False";"True";"";"MTNNet Main Subscription";"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878";"mlz-vnet-AVD";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourceGroups/mlz-rg-AVD-test/providers/Microsoft.Network/virtualNetworks/mlz-vnet-AVD";"existent";"mlz-rg-AVD-test";"usgovvirginia";"10.0.125.0/24";"10.0.125.0/24";"";"1";"0";"1";"0";"0";"0";"3";"1";"False"
"MTNNet Main Subscription";"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878";"mlz-vnet-hub-test";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourceGroups/mlz-rg-hub-test/providers/Microsoft.Network/virtualNetworks/mlz-vnet-hub-test";"mlz-rg-hub-test";"usgovvirginia";"10.0.100.0/24";"";"4";"1";"2";"0";"1";"1";"17";"4";"False";"5";"false";"MLZhub-to-sandbox";"Connected";"FullyInSync";"True";"True";"False";"False";"False";"True";"";"1";"MLZsandbox-to-hub";"Connected";"FullyInSync";"True";"True";"False";"False";"False";"True";"";"MTNNet Main Subscription";"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878";"mlz-vnet-sandbox";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourceGroups/mlz-rg-sandbox/providers/Microsoft.Network/virtualNetworks/mlz-vnet-sandbox";"existent";"mlz-rg-sandbox";"usgovvirginia";"10.0.122.0/24";"10.0.122.0/24";"";"3";"3";"3";"0";"1";"1";"4";"3";"False"
"MTNNet Main Subscription";"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878";"mlz-vnet-hub-test";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourceGroups/mlz-rg-hub-test/providers/Microsoft.Network/virtualNetworks/mlz-vnet-hub-test";"mlz-rg-hub-test";"usgovvirginia";"10.0.100.0/24";"";"4";"1";"2";"0";"1";"1";"17";"4";"False";"5";"false";"to-mlz-vnet-identity-test";"Connected";"FullyInSync";"True";"True";"False";"False";"False";"True";"";"1";"to-mlz-vnet-hub-test";"Connected";"FullyInSync";"True";"True";"False";"False";"False";"True";"";"MTNNet Main Subscription";"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878";"mlz-vnet-identity-test";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourceGroups/mlz-rg-identity-test/providers/Microsoft.Network/virtualNetworks/mlz-vnet-identity-test";"existent";"mlz-rg-identity-test";"usgovvirginia";"10.0.110.0/26";"10.0.110.0/26";"";"1";"1";"1";"0";"1";"1";"2";"1";"False"
"MTNNet Main Subscription";"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878";"mlz-vnet-hub-test";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourceGroups/mlz-rg-hub-test/providers/Microsoft.Network/virtualNetworks/mlz-vnet-hub-test";"mlz-rg-hub-test";"usgovvirginia";"10.0.100.0/24";"";"4";"1";"2";"0";"1";"1";"17";"4";"False";"5";"false";"to-mlz-vnet-sharedServices-test";"Connected";"FullyInSync";"True";"True";"False";"False";"False";"True";"";"1";"to-mlz-vnet-hub-test";"Connected";"FullyInSync";"True";"True";"False";"False";"False";"True";"";"MTNNet Main Subscription";"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878";"mlz-vnet-sharedServices-test";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourceGroups/mlz-rg-sharedServices-test/providers/Microsoft.Network/virtualNetworks/mlz-vnet-sharedServices-test";"existent";"mlz-rg-sharedServices-test";"usgovvirginia";"10.0.120.0/26";"10.0.120.0/26";"";"1";"1";"1";"0";"0";"0";"0";"0";"False"
"MTNNet Main Subscription";"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878";"mlz-vnet-identity-test";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourceGroups/mlz-rg-identity-test/providers/Microsoft.Network/virtualNetworks/mlz-vnet-identity-test";"mlz-rg-identity-test";"usgovvirginia";"10.0.110.0/26";"";"1";"1";"1";"0";"1";"1";"2";"1";"False";"1";"false";"to-mlz-vnet-hub-test";"Connected";"FullyInSync";"True";"True";"False";"False";"False";"True";"";"5";"to-mlz-vnet-identity-test";"Connected";"FullyInSync";"True";"True";"False";"False";"False";"True";"";"MTNNet Main Subscription";"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878";"mlz-vnet-hub-test";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourceGroups/mlz-rg-hub-test/providers/Microsoft.Network/virtualNetworks/mlz-vnet-hub-test";"existent";"mlz-rg-hub-test";"usgovvirginia";"10.0.100.0/24";"10.0.100.0/24";"";"4";"1";"2";"0";"1";"1";"17";"4";"False"
"MTNNet Main Subscription";"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878";"mlz-vnet-operations-test";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourceGroups/mlz-rg-operations-test/providers/Microsoft.Network/virtualNetworks/mlz-vnet-operations-test";"mlz-rg-operations-test";"usgovvirginia";"10.0.115.0/26";"";"1";"1";"1";"0";"0";"0";"0";"0";"False";"1";"false";"to-mlz-vnet-hub-test";"Connected";"FullyInSync";"True";"True";"False";"False";"False";"True";"";"5";"to-mlz-vnet-operations-test";"Connected";"FullyInSync";"True";"True";"False";"False";"False";"True";"";"MTNNet Main Subscription";"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878";"mlz-vnet-hub-test";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourceGroups/mlz-rg-hub-test/providers/Microsoft.Network/virtualNetworks/mlz-vnet-hub-test";"existent";"mlz-rg-hub-test";"usgovvirginia";"10.0.100.0/24";"10.0.100.0/24";"";"4";"1";"2";"0";"1";"1";"17";"4";"False"
