"SubscriptionName";"Subscription";"MGPath";"VNet";"VNetId";"VNetResourceGroup";"Location";"SubnetName";"SubnetId";"SubnetNet";"SubnetPrefix";"Subnetmask";"Range";"ConnectedDevices";"AvailableIPAddresses";"UsedIPAddressesPercent";"SubnetIPAddressUsageCritical";"PrivateEndpointNetworkPolicies";"PrivateLinkServiceNetworkPolicies";"ServiceEndpointsCount";"ServiceEndpoints";"Delegation";"NetworkSecurityGroup";"RouteTable";"NatGateway";"PrivateEndpoints"
"MTN Training";"c7c39807-92fa-4bcb-8d7f-a604845698d0";"80c5c29b-f6c2-457b-af54-603a8d840878";"az104-05-vnet0";"/subscriptions/c7c39807-92fa-4bcb-8d7f-a604845698d0/resourceGroups/rg1-az104-jsocstudent04/providers/Microsoft.Network/virtualNetworks/az104-05-vnet0";"rg1-az104-jsocstudent04";"usgovvirginia";"subnet0";"/subscriptions/c7c39807-92fa-4bcb-8d7f-a604845698d0/resourceGroups/rg1-az104-jsocstudent04/providers/Microsoft.Network/virtualNetworks/az104-05-vnet0/subnets/subnet0";"10.50.0.0";"24";"255.255.255.0";"10.50.0.0 - 10.50.0.255";"0";"251";"0 %";"False";"Disabled";"Enabled";"0";"";"";;;"";"0"
"MTN Training";"c7c39807-92fa-4bcb-8d7f-a604845698d0";"80c5c29b-f6c2-457b-af54-603a8d840878";"jas-vnet";"/subscriptions/c7c39807-92fa-4bcb-8d7f-a604845698d0/resourceGroups/jas-demo/providers/Microsoft.Network/virtualNetworks/jas-vnet";"jas-demo";"usgovarizona";"AzureBastionSubnet";"/subscriptions/c7c39807-92fa-4bcb-8d7f-a604845698d0/resourceGroups/jas-demo/providers/Microsoft.Network/virtualNetworks/jas-vnet/subnets/AzureBastionSubnet";"10.0.1.0";"26";"255.255.255.192";"10.0.1.0 - 10.0.1.63";"1";"58";"1.7 %";"False";"Disabled";"Enabled";"0";"";"";;;"";"0"
"MTN Training";"c7c39807-92fa-4bcb-8d7f-a604845698d0";"80c5c29b-f6c2-457b-af54-603a8d840878";"jas-vnet";"/subscriptions/c7c39807-92fa-4bcb-8d7f-a604845698d0/resourceGroups/jas-demo/providers/Microsoft.Network/virtualNetworks/jas-vnet";"jas-demo";"usgovarizona";"default";"/subscriptions/c7c39807-92fa-4bcb-8d7f-a604845698d0/resourceGroups/jas-demo/providers/Microsoft.Network/virtualNetworks/jas-vnet/subnets/default";"10.0.0.0";"24";"255.255.255.0";"10.0.0.0 - 10.0.0.255";"5";"246";"2 %";"False";"Disabled";"Enabled";"0";"";"";;;"";"0"
"MTN Training";"c7c39807-92fa-4bcb-8d7f-a604845698d0";"80c5c29b-f6c2-457b-af54-603a8d840878";"s05vnet-cap-usgaz-hub";"/subscriptions/c7c39807-92fa-4bcb-8d7f-a604845698d0/resourceGroups/s05rg-cap-usgaz-hub/providers/Microsoft.Network/virtualNetworks/s05vnet-cap-usgaz-hub";"s05rg-cap-usgaz-hub";"usgovarizona";"AzureBastionSubnet";"/subscriptions/c7c39807-92fa-4bcb-8d7f-a604845698d0/resourceGroups/s05rg-cap-usgaz-hub/providers/Microsoft.Network/virtualNetworks/s05vnet-cap-usgaz-hub/subnets/AzureBastionSubnet";"10.52.255.0";"24";"255.255.255.0";"10.52.255.0 - 10.52.255.255";"1";"250";"0.4 %";"False";"Disabled";"Enabled";"0";"";"";;;"";"0"
"MTN Training";"c7c39807-92fa-4bcb-8d7f-a604845698d0";"80c5c29b-f6c2-457b-af54-603a8d840878";"s05vnet-cap-usgaz-hub";"/subscriptions/c7c39807-92fa-4bcb-8d7f-a604845698d0/resourceGroups/s05rg-cap-usgaz-hub/providers/Microsoft.Network/virtualNetworks/s05vnet-cap-usgaz-hub";"s05rg-cap-usgaz-hub";"usgovarizona";"Subnet-Jumpbox";"/subscriptions/c7c39807-92fa-4bcb-8d7f-a604845698d0/resourceGroups/s05rg-cap-usgaz-hub/providers/Microsoft.Network/virtualNetworks/s05vnet-cap-usgaz-hub/subnets/Subnet-Jumpbox";"10.52.0.0";"24";"255.255.255.0";"10.52.0.0 - 10.52.0.255";"1";"250";"0.4 %";"False";"Disabled";"Enabled";"0";"";"";;;"";"0"
"MTNNet Main Subscription";"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878";"aks-vnet-30503371";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourceGroups/MC_myResourceGroup_myk8cluster_usgovvirginia/providers/Microsoft.Network/virtualNetworks/aks-vnet-30503371";"MC_myResourceGroup_myk8cluster_usgovvirginia";"usgovvirginia";"aks-subnet";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourceGroups/MC_myResourceGroup_myk8cluster_usgovvirginia/providers/Microsoft.Network/virtualNetworks/aks-vnet-30503371/subnets/aks-subnet";"10.224.0.0";"16";"255.255.0.0";"10.224.0.0 - 10.224.255.255";"2";"65529";"0 %";"False";"Disabled";"Enabled";"0";"";"";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourceGroups/MC_myResourceGroup_myk8cluster_usgovvirginia/providers/Microsoft.Network/networkSecurityGroups/aks-agentpool-30503371-nsg";"@{id=/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourceGroups/MC_myResourceGroup_myk8cluster_usgovvirginia/providers/Microsoft.Network/routeTables/aks-agentpool-30503371-routetable}";"";"0"
"MTNNet Main Subscription";"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878";"Burke-VNet";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourceGroups/rg-brooks/providers/Microsoft.Network/virtualNetworks/Burke-VNet";"rg-brooks";"usgovvirginia";"AzureBastionSubnet";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourceGroups/rg-brooks/providers/Microsoft.Network/virtualNetworks/Burke-VNet/subnets/AzureBastionSubnet";"192.168.0.192";"26";"255.255.255.192";"192.168.0.192 - 192.168.0.255";"1";"58";"1.7 %";"False";"Disabled";"Enabled";"0";"";"";;;"";"0"
"MTNNet Main Subscription";"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878";"Burke-VNet";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourceGroups/rg-brooks/providers/Microsoft.Network/virtualNetworks/Burke-VNet";"rg-brooks";"usgovvirginia";"Mgmt";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourceGroups/rg-brooks/providers/Microsoft.Network/virtualNetworks/Burke-VNet/subnets/Mgmt";"192.168.0.0";"29";"255.255.255.248";"192.168.0.0 - 192.168.0.7";"1";"2";"33.3 %";"False";"Disabled";"Enabled";"0";"";"";;;"";"0"
"MTNNet Main Subscription";"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878";"fury-demo-vnet";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourceGroups/fury-demo/providers/Microsoft.Network/virtualNetworks/fury-demo-vnet";"fury-demo";"usgovvirginia";"AzureBastionSubnet";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourceGroups/fury-demo/providers/Microsoft.Network/virtualNetworks/fury-demo-vnet/subnets/AzureBastionSubnet";"10.3.1.0";"26";"255.255.255.192";"10.3.1.0 - 10.3.1.63";"1";"58";"1.7 %";"False";"Enabled";"Enabled";"0";"";"";;;"";"0"
"MTNNet Main Subscription";"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878";"fury-demo-vnet";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourceGroups/fury-demo/providers/Microsoft.Network/virtualNetworks/fury-demo-vnet";"fury-demo";"usgovvirginia";"default";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourceGroups/fury-demo/providers/Microsoft.Network/virtualNetworks/fury-demo-vnet/subnets/default";"10.3.0.0";"24";"255.255.255.0";"10.3.0.0 - 10.3.0.255";"3";"248";"1.2 %";"False";"Enabled";"Enabled";"0";"";"";;;"";"0"
