"SubscriptionName";"Subscription";"MGPath";"VNet";"VNetResourceGroup";"Location";"AddressSpaceAddressPrefixes";"DhcpoptionsDnsservers";"SubnetsCount";"SubnetsWithNSGCount";"SubnetsWithRouteTableCount";"SubnetsWithDelegationsCount";"PrivateEndpointsCount";"SubnetsWithPrivateEndPointsCount";"ConnectedDevices";"SubnetsWithConnectedDevicesCount";"DdosProtection";"PeeringsCount"
"MTN Training";"c7c39807-92fa-4bcb-8d7f-a604845698d0";"80c5c29b-f6c2-457b-af54-603a8d840878";"az104-05-vnet0";"rg1-az104-jsocstudent04";"usgovvirginia";"10.50.0.0/22";"";"1";"0";"0";"0";"0";"0";"0";"0";"False";"2"
"MTN Training";"c7c39807-92fa-4bcb-8d7f-a604845698d0";"80c5c29b-f6c2-457b-af54-603a8d840878";"jas-vnet";"jas-demo";"usgovarizona";"10.0.0.0/16";"";"2";"0";"0";"0";"0";"0";"6";"2";"False";"0"
"MTN Training";"c7c39807-92fa-4bcb-8d7f-a604845698d0";"80c5c29b-f6c2-457b-af54-603a8d840878";"s05vnet-cap-usgaz-hub";"s05rg-cap-usgaz-hub";"usgovarizona";"10.52.0.0/16";"";"2";"0";"0";"0";"0";"0";"2";"2";"False";"0"
"MTNNet Main Subscription";"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878";"aks-vnet-30503371";"MC_myResourceGroup_myk8cluster_usgovvirginia";"usgovvirginia";"10.224.0.0/12";"";"1";"1";"1";"0";"0";"0";"2";"1";"False";"0"
"MTNNet Main Subscription";"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878";"Burke-VNet";"rg-brooks";"usgovvirginia";"192.168.0.0/24";"";"2";"0";"0";"0";"0";"0";"2";"2";"False";"0"
"MTNNet Main Subscription";"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878";"fury-demo-vnet";"fury-demo";"usgovvirginia";"10.3.0.0/16";"";"2";"0";"0";"0";"0";"0";"4";"2";"False";"0"
"MTNNet Main Subscription";"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878";"mlz-vnet-AVD";"mlz-rg-AVD-test";"usgovvirginia";"10.0.125.0/24";"";"1";"0";"1";"0";"0";"0";"3";"1";"False";"1"
"MTNNet Main Subscription";"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878";"mlz-vnet-hub-test";"mlz-rg-hub-test";"usgovvirginia";"10.0.100.0/24";"";"4";"1";"2";"0";"1";"1";"17";"4";"False";"5"
"MTNNet Main Subscription";"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878";"mlz-vnet-identity-test";"mlz-rg-identity-test";"usgovvirginia";"10.0.110.0/26";"";"1";"1";"1";"0";"1";"1";"2";"1";"False";"1"
"MTNNet Main Subscription";"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878";"mlz-vnet-operations-test";"mlz-rg-operations-test";"usgovvirginia";"10.0.115.0/26";"";"1";"1";"1";"0";"0";"0";"0";"0";"False";"1"
"MTNNet Main Subscription";"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878";"mlz-vnet-sandbox";"mlz-rg-sandbox";"usgovvirginia";"10.0.122.0/24";"";"3";"3";"3";"0";"1";"1";"4";"3";"False";"1"
"MTNNet Main Subscription";"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878";"mlz-vnet-sharedServices-test";"mlz-rg-sharedServices-test";"usgovvirginia";"10.0.120.0/26";"";"1";"1";"1";"0";"0";"0";"0";"0";"False";"1"
"MTNNet Main Subscription";"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878";"scanny-vnet-hub-dev";"scanny-rg-hub-dev";"usgovvirginia";"10.0.100.0/24";"";"3";"1";"2";"0";"1";"1";"15";"3";"False";"3"
"MTNNet Main Subscription";"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878";"scanny-vnet-identity-dev";"scanny-rg-identity-dev";"usgovvirginia";"10.0.110.0/26";"";"1";"1";"1";"0";"0";"0";"0";"0";"False";"1"
"MTNNet Main Subscription";"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878";"scanny-vnet-operations-dev";"scanny-rg-operations-dev";"usgovvirginia";"10.0.115.0/26";"";"1";"1";"1";"0";"0";"0";"0";"0";"False";"1"
"MTNNet Main Subscription";"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878";"scanny-vnet-sharedServices-dev";"scanny-rg-sharedServices-dev";"usgovvirginia";"10.0.120.0/26";"";"1";"1";"1";"0";"0";"0";"0";"0";"False";"1"
"MTNNet Main Subscription";"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878";"serg-obfuscation-lz-hub-vnet";"serg-obfuscation-lz-hub-rg";"usgovvirginia";"10.82.0.0/20";"";"7";"0";"3";"0";"0";"0";"7";"4";"False";"3"
"MTNNet Main Subscription";"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878";"serg-obfuscation-lz-spoke-va01-tier0-vnet";"serg-obfuscation-lz-spoke-va01-tier0-rg";"usgovvirginia";"10.82.16.0/20";"";"1";"0";"0";"0";"0";"0";"0";"0";"False";"1"
"MTNNet Main Subscription";"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878";"serg-obfuscation-lz-spoke-va02-tier1-vnet";"serg-obfuscation-lz-spoke-va02-tier1-rg";"usgovvirginia";"10.82.32.0/20";"";"1";"0";"0";"0";"0";"0";"0";"0";"False";"1"
"MTNNet Main Subscription";"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878";"serg-obfuscation-lz-spoke-va02-tier3-vnet";"serg-obfuscation-lz-spoke-va01-tier3-rg";"usgovvirginia";"10.82.112.0/20";"";"3";"2";"3";"1";"2";"1";"2";"1";"False";"1"
"MTNNet Main Subscription";"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878";"vn-avd-Arieavd";"Arie_AVD";"usgovvirginia";"10.1.1.0/24";"";"1";"0";"0";"0";"1";"1";"3";"1";"False";"0"
"Partner Scratch Space";"f5b490b4-4ce4-469b-9f14-32b600fd3959";"80c5c29b-f6c2-457b-af54-603a8d840878";"BinderRG-vnet";"BinderRG";"usgovvirginia";"10.0.0.0/16";"";"2";"0";"0";"0";"0";"0";"2";"2";"False";"0"
"Partner Scratch Space";"f5b490b4-4ce4-469b-9f14-32b600fd3959";"80c5c29b-f6c2-457b-af54-603a8d840878";"TranslatePOC-usgva-vnet";"TransaltePOC";"usgovvirginia";"10.230.0.0/16";"";"2";"0";"0";"0";"0";"0";"3";"2";"False";"0"
